part,episode,frame,action_jump_mm,control_lag_mm
gear_20teeth,0,1,0.00016021728515625,0.0002534980303607881
gear_20teeth,0,2,0.0002534980303607881,0.0
gear_20teeth,0,3,0.0,0.0
gear_20teeth,0,4,0.0,0.0
gear_20teeth,0,5,0.0,0.0
gear_20teeth,0,6,0.0,0.0
gear_20teeth,0,7,0.0,0.0
gear_20teeth,0,8,0.0,0.0
gear_20teeth,0,9,0.0,0.0
gear_20teeth,0,10,153.01522827148438,153.01522827148438
gear_20teeth,0,11,0.0,166.15379333496094
gear_20teeth,0,12,0.0,14.101350784301758
gear_20teeth,0,13,0.0,0.22146792709827423
gear_20teeth,0,14,12.94091796875,12.602432250976562
gear_20teeth,0,15,12.05908203125,11.562859535217285
gear_20teeth,0,16,10.3553466796875,9.891191482543945
gear_20teeth,0,17,7.9459228515625,7.556316375732422
gear_20teeth,0,18,4.9949951171875,4.695899963378906
gear_20teeth,0,19,1.7037353515625,1.4800493717193604
gear_20teeth,0,20,0.0,1.437056541442871
gear_20teeth,0,21,0.0,1.3881548643112183
gear_20teeth,0,22,0.0,1.32823646068573
gear_20teeth,0,23,0.0,1.30473792552948
gear_20teeth,0,24,0.0,1.2653018236160278
gear_20teeth,0,25,0.0,1.2822426557540894
gear_20teeth,0,26,0.0,1.2874717712402344
gear_20teeth,0,27,0.0,1.3138147592544556
gear_20teeth,0,28,0.0,1.3369176387786865
gear_20teeth,0,29,0.0,1.3904082775115967
gear_20teeth,0,30,0.0,1.3747607469558716
gear_20teeth,0,31,50.0,0.2780444324016571
gear_20teeth,0,32,76.63655853271484,25.8608341217041
gear_20teeth,0,33,0.0,0.316346138715744
gear_20teeth,0,34,0.0,0.5483225584030151
gear_20teeth,0,35,0.0,0.7829004526138306
gear_20teeth,0,36,0.0,1.017749309539795
gear_20teeth,0,37,0.0,1.2529658079147339
gear_20teeth,0,38,0.0,0.316653311252594
gear_20teeth,0,39,0.0,0.5486560463905334
gear_20teeth,0,40,0.0,0.7830289602279663
gear_20teeth,0,41,0.0,1.0181255340576172
gear_20teeth,0,42,0.0,1.252895474433899
gear_20teeth,0,43,0.0,0.3173159062862396
gear_20teeth,0,44,12.94091796875,12.489507675170898
gear_20teeth,0,45,12.05908203125,11.366025924682617
gear_20teeth,0,46,10.3553466796875,9.696590423583984
gear_20teeth,0,47,7.9459228515625,7.392955780029297
gear_20teeth,0,48,4.9949951171875,4.677407741546631
gear_20teeth,0,49,1.7037353515625,1.479351282119751
gear_20teeth,0,50,0.0,0.25594833493232727
gear_20teeth,0,51,0.0,0.42817455530166626
gear_20teeth,0,52,0.0,0.6635332107543945
gear_20teeth,0,53,0.0,0.8248640894889832
gear_20teeth,0,54,0.0,0.9893821477890015
gear_20teeth,0,55,0.0,1.2715474367141724
gear_20teeth,0,56,0.0,0.4774933457374573
gear_20teeth,0,57,0.0,0.678088903427124
gear_20teeth,0,58,0.0,0.7714736461639404
gear_20teeth,0,59,0.0,0.918975293636322
gear_20teeth,0,60,0.0,0.9906353950500488
gear_20teeth,0,61,0.0,1.249603033065796
gear_20teeth,0,62,0.0,0.52650386095047
gear_20teeth,0,63,0.0,0.6744464635848999
gear_20teeth,0,64,0.0,0.7710988521575928
gear_20teeth,9,1,0.00016021728515625,0.0002534980303607881
gear_20teeth,9,2,0.0002534980303607881,0.0
gear_20teeth,9,3,0.0,0.0
gear_20teeth,9,4,0.0,0.0
gear_20teeth,9,5,0.0,0.0
gear_20teeth,9,6,0.0,0.0
gear_20teeth,9,7,0.0,0.0
gear_20teeth,9,8,0.0,0.0
gear_20teeth,9,9,0.0,0.0
gear_20teeth,9,10,153.01522827148438,153.01522827148438
gear_20teeth,9,11,0.0,166.15379333496094
gear_20teeth,9,12,0.0,14.101350784301758
gear_20teeth,9,13,0.0,0.22146792709827423
gear_20teeth,9,14,12.94091796875,12.602432250976562
gear_20teeth,9,15,12.05908203125,11.562859535217285
gear_20teeth,9,16,10.3553466796875,9.891191482543945
gear_20teeth,9,17,7.9459228515625,7.556316375732422
gear_20teeth,9,18,4.9949951171875,4.695899963378906
gear_20teeth,9,19,1.7037353515625,1.4800493717193604
gear_20teeth,9,20,0.0,1.437056541442871
gear_20teeth,9,21,0.0,1.3881548643112183
gear_20teeth,9,22,0.0,1.32823646068573
gear_20teeth,9,23,0.0,1.30473792552948
gear_20teeth,9,24,0.0,1.2653018236160278
gear_20teeth,9,25,0.0,1.2822426557540894
gear_20teeth,9,26,0.0,1.2874717712402344
gear_20teeth,9,27,0.0,1.3138147592544556
gear_20teeth,9,28,0.0,1.3369176387786865
gear_20teeth,9,29,0.0,1.3904082775115967
gear_20teeth,9,30,0.0,1.3747607469558716
gear_20teeth,9,31,50.0,0.2780444324016571
gear_20teeth,9,32,76.63655853271484,25.8608341217041
gear_20teeth,9,33,0.0,0.316346138715744
gear_20teeth,9,34,0.0,0.5483225584030151
gear_20teeth,9,35,0.0,0.7829004526138306
gear_20teeth,9,36,0.0,1.017749309539795
gear_20teeth,9,37,0.0,1.2529658079147339
gear_20teeth,9,38,0.0,0.316653311252594
gear_20teeth,9,39,0.0,0.5486560463905334
gear_20teeth,9,40,0.0,0.7830289602279663
gear_20teeth,9,41,0.0,1.0181255340576172
gear_20teeth,9,42,0.0,1.252895474433899
gear_20teeth,9,43,0.0,0.3173159062862396
gear_20teeth,9,44,12.94091796875,12.489507675170898
gear_20teeth,9,45,12.05908203125,11.366025924682617
gear_20teeth,9,46,10.3553466796875,9.696590423583984
gear_20teeth,9,47,7.9459228515625,7.392955780029297
gear_20teeth,9,48,4.9949951171875,4.677407741546631
gear_20teeth,9,49,1.7037353515625,1.479351282119751
gear_20teeth,9,50,0.0,0.25594833493232727
gear_20teeth,9,51,0.0,0.42817455530166626
gear_20teeth,9,52,0.0,0.6635332107543945
gear_20teeth,9,53,0.0,0.8248640894889832
gear_20teeth,9,54,0.0,0.9893821477890015
gear_20teeth,9,55,0.0,1.2715474367141724
gear_20teeth,9,56,0.0,0.4774933457374573
