sample_idx,t,abs_frame,pos_err_mm,ee_speed_mm_s,joint_vel_norm,control_lag_mm
0,0,0,1.993,1000.000,0.0107,1.806
0,1,1,3.149,32.048,0.0107,3.205
0,2,2,5.811,32.085,2.7134,3.209
0,3,3,10.920,1605.912,0.0139,160.591
0,4,4,5.949,1474.513,6.3744,147.451
0,5,5,2.409,1003.004,4.4897,100.300
0,6,6,1.893,432.487,2.4004,43.249
0,7,7,0.205,0.006,0.0300,0.001
0,8,8,0.768,0.002,0.0304,0.000
0,9,9,2.029,0.002,0.0304,0.000
0,10,10,0.943,0.000,0.0304,0.000
0,11,11,2.174,0.000,0.0304,0.000
0,12,12,2.525,0.000,0.0304,0.000
0,13,13,1.377,0.000,0.0304,0.000
0,14,14,2.932,0.000,0.0304,0.000
0,15,15,3.953,0.000,0.0304,0.000
1,0,1,0.744,32.048,0.0107,3.205
1,1,2,0.630,32.085,2.7134,3.209
1,2,3,1.267,1605.912,0.0139,160.591
1,3,4,1.669,1474.513,6.3744,147.451
1,4,5,0.417,1003.004,4.4897,100.300
1,5,6,4.389,432.487,2.4004,43.249
1,6,7,1.086,0.006,0.0300,0.001
1,7,8,0.705,0.002,0.0304,0.000
1,8,9,0.826,0.002,0.0304,0.000
1,9,10,0.499,0.000,0.0304,0.000
1,10,11,0.585,0.000,0.0304,0.000
1,11,12,1.060,0.000,0.0304,0.000
1,12,13,1.337,0.000,0.0304,0.000
1,13,14,1.498,0.000,0.0304,0.000
1,14,15,1.192,0.000,0.0304,0.000
1,15,16,1.478,3806.016,0.0304,0.000
2,0,2,2.246,32.085,2.7134,3.209
2,1,3,3.076,1605.912,0.0139,160.591
2,2,4,5.708,1474.513,6.3744,147.451
2,3,5,3.764,1003.004,4.4897,100.300
2,4,6,12.413,432.487,2.4004,43.249
2,5,7,1.030,0.006,0.0300,0.001
2,6,8,1.205,0.002,0.0304,0.000
2,7,9,0.518,0.002,0.0304,0.000
2,8,10,0.876,0.000,0.0304,0.000
2,9,11,2.110,0.000,0.0304,0.000
2,10,12,1.057,0.000,0.0304,0.000
2,11,13,1.179,0.000,0.0304,0.000
2,12,14,1.026,0.000,0.0304,0.000
2,13,15,1.065,0.000,0.0304,0.000
2,14,16,3.730,3806.016,0.0304,0.000
2,15,17,1.817,0.000,0.0304,380.602
3,0,3,2.288,1605.912,0.0139,160.591
3,1,4,1.251,1474.513,6.3744,147.451
3,2,5,1.133,1003.004,4.4897,100.300
3,3,6,4.590,432.487,2.4004,43.249
3,4,7,0.703,0.006,0.0300,0.001
3,5,8,0.629,0.002,0.0304,0.000
3,6,9,0.500,0.002,0.0304,0.000
3,7,10,0.527,0.000,0.0304,0.000
3,8,11,0.202,0.000,0.0304,0.000
3,9,12,0.315,0.000,0.0304,0.000
3,10,13,0.477,0.000,0.0304,0.000
3,11,14,0.369,0.000,0.0304,0.000
3,12,15,1.298,0.000,0.0304,0.000
3,13,16,1.923,3806.016,0.0304,0.000
3,14,17,1.218,0.000,0.0304,380.602
